Movie,Director,Distribution,Star,Rating,Budget,BoxOffice,RunningTime,Genre,Year,Month,Tomatometer
ThePolarExpress,RobertZemeckis,WarnerBros.Pictures,TomHanks,G,319.637,401.1,100,Animated,2004,November,0.55
FindingNeverland,MarcForster,MiramaxFilms,JohnnyDepp,PG,48.43,150.8,101,Fantasy,2004,November,0.82
AftertheSunset,BrettRatner,NewLineCinema,PierceBrosnan,PG13,114.294,79.2,97,Action,2004,November,0.18
SeedofChucky,DonMancini,Rogue,JenniferTilly,R,23.246,32,86,Horror,2004,November,0.32
BridgetJones:TheEdgeofReason,BeebanKidron,UniversalPictures,ReneeZellweger,R,77.488,339,107,Romance,2004,November,0.26
NationalTreasure,JonTurteltaub,BuenaVistaPictures,NicolasCage,PG,193.719,448.8,131,Adventure,2004,November,0.44
TheSpongeBobSquarePantsMovie,StephenHillenburg,ParamountPictures,TomKenny,PG,58.116,181.1,87,Animated,2004,November,0.69
Alexander,OliverStone,WarnerBros.Pictures,ColinFarrell,R,300.265,216.1,175,Epic,2004,November,0.16
ChristmaswiththeKranks,JoeRoth,ColumbiaPictures,TimAllen,PG,116.231,124.8,98,Comedy,2004,November,0.05
Closer,MikeNichols,ColumbiaPictures,JuliaRoberts,R,52.466,149,104,Romance,2004,December,0.68
Blade:Trinity,DavidS.Goyer,NewLineCinema,WesleySnipes,R,126.306,167,112,Superhero,2004,December,0.25
OceansTwelve,StevenSoderbergh,WarnerBros.Pictures,GeorgeClooney,PG13,213.749,469.9,125,Comedy,2004,December,0.54
MillionDollarBaby,ClintEastwood,WarnerBros.Pictures,ClintEastwood,PG13,58.295,280.9,132,Sports,2004,December,0.9
LemonySnicketsASeriesofUnfortunateEvents,BradSilberling,ParamountPictures,JimCarrey,PG,272.044,270.9,107,Comedy,2004,December,0.71
FlightofthePhoenix,JohnMoore,20thCenturyFox,DennisQuaid,PG13,87.443,44.8,113,Drama,2004,December,0.3
Spanglish,JamesL.Brooks,ColumbiaPictures,AdamSandler,PG13,155.454,71.2,131,Romance,2004,December,0.52
ThePhantomoftheOpera,JoelSchumacher,WarnerBros.Pictures,GerardButler,PG13,136.022,200.3,143,Musical,2004,December,0.33
HotelRwanda,TerryGeorge,MGMDistribution,DonCheadle,PG13,34.006,43.9,121,Drama,2004,December,0.91
MeettheFockers,JayRoach,UniversalPictures,RobertDeNiro,PG13,155.454,668.5,115,Comedy,2004,December,0.39
TheAviator,MartinScorsese,WarnerBros.Pictures,LeonardoDiCaprio,PG13,213.749,276.8,170,Biography,2004,December,0.87
FatAlbert,JoelZwick,20thCenturyFox,KenanThompson,PG,87.443,63,87,Comedy,2004,December,0.24
TheLifeAquaticwithSteveZissou,WesAnderson,BuenaVistaPictures,BillMurray,R,97.159,45.1,118,Comedy,2004,December,0.56
WhiteNoise,GeoffreySax,UniversalPictures,MichaelKeaton,PG13,19.497,118.5,101,Horror,2005,January,0.08
RacingStripes,FrederikDuChau,WarnerBros.Pictures,BruceGreenwood,PG,58.49,118,102,Sports,2005,January,0.35
CoachCarter,ThomasCarter,ParamountPictures,SamuelL.Jackson,PG13,58.49,99.7,136,Sports,2005,January,0.64
Elektra,RobBowman,20thCenturyFox,JenniferGarner,PG13,83.835,73.7,97,Superhero,2005,January,0.1
AssaultonPrecinct13,JeanFrancoisRichet,Rogue,EthanHawke,R,58.49,45.9,109,Action,2005,January,0.6
AreWeThereYet?,BrianLevant,ColumbiaPictures,IceCube,PG,62.389,127.2,94,Family,2005,January,0.11
HideandSeek,JohnPolson,20thCenturyFox,RobertDeNiro,R,48.742,159.5,101,Horror,2005,January,0.13
AloneintheDark,UweBoll,Lionsgate,ChristianSlater,R,38.993,13.5,96,Action,2005,January,0.01
Boogeyman,StephenT.Kay,ScreenGems,BarryWatson,PG13,38.945,87,89,Horror,2005,February,0.13
TheWeddingDate,ClareKilner,UniversalPictures,DebraMessing,PG13,29.209,61.3,90,Romance,2005,February,0.11
Hitch,AndyTennant,ColumbiaPictures,WillSmith,PG13,136.309,477.9,118,Romance,2005,February,0.68
PoohsHeffalumpMovie,FrankNissen,BuenaVistaPictures,JimCummings,G,38.945,68.7,68,Animated,2005,February,0.79
Constantine,FrancisLawrence,WarnerBros.Pictures,KeanuReeves,R,194.727,299.8,121,Crime,2005,February,0.46
SonoftheMask,LawrenceGuterman,NewLineCinema,JamieKennedy,PG,163.571,74.8,94,Comedy,2005,February,0.06
